,Unnamed: 0,urls,captions,comments,likes,labels
68,68,https://scontent-sea1-1.cdninstagram.com/vp/941b93a24b5735094550d9f32e190255/5C783C67/t51.2885-15/fr/e15/s1080x1080/43914010_1986235048160821_8057979776380587334_n.jpg?ig_cache_key=MTkwNjU3OTcwMDM2MjExMzI4OQ%3D%3D.2,"Photo by Anastasia Taylor-Lind @anastasiatl | When Alina and Igor Leschina decided to marry this summer in Avdeevka, an industrial city in eastern Ukraine, they had two venue options: the local registry office with two small, dark rooms in a building that had been shelled, or the community center down the street. In the end, they chose the center—generally considered a more pleasant venue, despite being next to a minefield. After signing their marriage certificate, the bride and groom bowed to their parents. “Now that you are married to each other, don’t forget to call your parents,” said the registrar who married them, “and come to visit them.” That simple advice to the newlyweds, the kind that most newlyweds elsewhere may receive, was also a reminder that in these front-line areas of a war that has simmered for years, many young people leave for safer places while their parents stay behind. It has been more than four years since the war in Ukraine began. The front line is static and life around it is pretty normal—or so it seems. People in conflict zones get used to danger. Like everywhere else, they work, cook, have fun, fall in love, get married and raise children. Text by Alisa Sopova @sopova.alisa , a Ukrainian journalist from Donetsk. #5kfromthefrontline ",488,147996,"['photograph', 'flower', 'ceremony', 'bride', 'event', 'function hall', 'tradition', 'wedding', 'wedding reception', 'flower arranging']"
69,69,https://scontent-sea1-1.cdninstagram.com/vp/e237a97f4102a0a7f7b528409f18e1d1/5C89C0BE/t51.2885-15/fr/e15/s1080x1080/43984569_532485173829530_689667361491785262_n.jpg?ig_cache_key=MTkwNjQyOTE2NTcyNjA5Mzk4Mg%3D%3D.2,"Photo by @stevewinterphoto | On October 29th, the government of China revealed that it will allow commercial trade in tiger bone and rhino horn from farmed animals for use in traditional Chinese medicine research and clinical treatments. Debbie Banks, Environmental Investigation Agency UK, Tiger Campaign Director says: “At a single stroke, China has shattered its reputation as a growing leader in conservation following its domestic ban on the sale of ivory at the start of the year. It is instead revealed as a sham, its international image in tatters and its credibility destroyed—and all for the sake of deeply questionable business sectors which serve only to drive consumer demand for the parts and products of endangered species. History will not judge the Government of China kindly or with respect for such a reactionary, ill-judged and damaging decision.” China’s action stands in sharp contrast to the country’s moves to combat poaching in recent years. The country has had a 25-year-old ban in place preventing the import or export of these products. And the World Federation of Chinese Medicine Societies—the official group that dictates what can be used in traditional medicine—also removed rhino horn and tiger bone from its list of products approved for use on patients (though the market still existed for them). This will further the trade in wild tigers, as the “wild tiger” will now be more valuable than farmed. @natgeo @stevewinterphoto @wildaid @eia_news",7844,461167,"['mammal', 'wildlife', 'tiger', 'big cats', 'snout']"
70,70,https://scontent-sea1-1.cdninstagram.com/vp/afbbb752af50bb15ac8fb2fcd768f3c4/5BEEC843/t51.2885-15/fr/e15/s1080x1080/42368271_726754361016204_8277746859415195487_n.jpg,"Video by Moises Saman @moisessaman | Central American migrants, part of a caravan of thousands determined to reach the US border, catch a ride on top of a trailer truck as it drives north near the town of Los Corazones, Oaxaca state, Mexico on Nov. 5, 2018. Some truck drivers, and other passing people with space on their vehicles, offer rides to the caravan of migrants, allowing them to advance at a faster pace than walking. This is a very dangerous form of transportation, and migrants have been spotted sitting on the roofs of truck cabins, crouching in between the axis of trailer trucks, or holding on to any surface that allows them to ride rather than walk. Shot on assignment for National Geographic. @magnumphotos",5744,257181,
71,71,https://scontent-sea1-1.cdninstagram.com/vp/a2f40ee8121dd96005548a2586f6fac4/5C6CA160/t51.2885-15/fr/e15/s1080x1080/43818059_290538171797920_7557040085070190094_n.jpg?ig_cache_key=MTkwNjI5NjU1MDIzMDc4MzY5Mw%3D%3D.2,"Photo by @brentstirton | This is an image of over 40 lion bone carcasses to be sent to China from South Africa for their #traditionalmedicine  market. #Lionbone  has come to replace much of the #tigerbone  trade as tigers are so severely endangered in the wild. China recently declared that it will once again allow trading of rhino and tiger parts domestically after a 25-year ban. They say this is to accommodate “farmed animals” bred in China. There are many reports on those farms, none of them good. Issues of severe inbreeding, starvation, and other abuses are common. There are also many reports that wild animals fetch higher prices on the Chinese market. Any legalization of these animal products throws open large loopholes for the illegal trade, stimulating poaching against severely endangered animals in countries that feed the illegal wildlife trade flowing into China. This is a very disappointing decision on the part of #China , especially so soon after they agreed to ban their domestic #Ivory  trade.",8024,358647,"['tree', 'sky', 'soil', 'plant', 'grass family', 'landscape', 'forest', 'shrubland', 'grass', 'branch']"
72,72,https://scontent-sea1-1.cdninstagram.com/vp/652ff4f1cdc234eaebfaf0b46526b251/5C6A99CD/t51.2885-15/fr/e15/s1080x1080/43915041_297488000863915_7785871881105959564_n.jpg?ig_cache_key=MTkwNTk3NTg2OTkzNjg0MzA2OA%3D%3D.2,"Photo by @drewtrush | Mountain Climber, Mountain GOAT. My buddy Dan called this one a Mountain Wizard. It’s hard to believe they’re considered an invasive species in northwest Wyoming. Follow @drewtrush for more from this part of the world. •🏔 🐐• #wildlife  #mountaingoats  #commonground  #publiclands ",6557,1195598,"['mountain goat', 'snow', 'arctic', 'sky', 'freezing', 'mountain', 'winter', 'goats', 'geological phenomenon', 'glacial landform']"
73,73,https://scontent-sea1-1.cdninstagram.com/vp/4cfbd1c4c4b3b4f4a2eb3155385e0b66/5C68532B/t51.2885-15/fr/e15/s1080x1080/44186649_295422167736161_2447117539469418378_n.jpg?ig_cache_key=MTkwNTkwMTQxNTY4MDYxOTYxOQ%3D%3D.2,"Photo by @joelsartore | Did you know word “lemur” comes from the Latin word for ghost? Nocturnal behavior, startling screams, and mythology regarding some lemur species as holding the spirits of ancestors are thought to contribute to their ghostly name connection. The aye-aye is at the center of countless myths on the island of Madagascar, with many locals holding the belief that an encounter with the aye-aye brings great misfortune. Some Malagasy even believe that the aye-ayes are man-eaters, which is why you should never leave your village in the dark. In reality, the aye-aye leads a solitary life and is nocturnal, meaning an encounter with this unique lemur is rare. With increased education and ecotourism to Madagascar, there is hope that this species will be viewed as a treasure and not as a threat. Photographed @denverzoo. #ayeaye ",15315,755065,"['fauna', 'mammal', 'fur', 'macaque', 'old world monkey', 'primate', 'organism', 'wildlife', 'viverridae', 'snout']"
74,74,https://scontent-sea1-1.cdninstagram.com/vp/432773716ba88632389b823efb7cc833/5C827450/t51.2885-15/e15/c180.0.720.720/s480x480/44495168_321323801792448_4002563139520104714_n.jpg?ig_cache_key=MTkwNTgyNjc0NjE2NDEwMjI0Nw%3D%3D.2.c,"Photo by @beverlyjoubert | They say an elephant never forgets. Elephants certainly don't seem to forget when a favorite food source becomes available. The Makalani palms (Hyphaene petersiana) that are great features of this northern Botswana landscape produce copious amounts of fruit that generally ripen at the driest time of the year, when other food sources are scant. It's not uncommon to see elephants shaking each tree to check whether the fruit has ripened and will fall. This bull has tested them all and will be back to investigate again, until the fruits rain down on him. #thebeautyofelephants  #realfanpalm  #makalanipalm  #wintersday  #botswana  #linyantiswamps  #selindareserve ",1468,611322,"['wildlife', 'elephants and mammoths', 'grassland', 'ecosystem', 'savanna', 'wilderness', 'elephant', 'african elephant', 'tree', 'nature reserve']"
75,75,https://scontent-sea1-1.cdninstagram.com/vp/fc1e9003e0175ad0037439c96904d69e/5C6FE493/t51.2885-15/e15/c108.0.863.863/s480x480/44424961_2068615816562092_6461891121286558669_n.jpg?ig_cache_key=MTkwNTc0OTY2ODczMTM2MTEyNw%3D%3D.2.c,"Photo by @ciriljazbec | A white horse runs by while trekking to a remote settlement of Laya in the north of the country. Here in Bhutan they never tie their horses; they simply allow their animals to roam free. When they need to use them, they will just climb the mountains to find them. This social norm has recently become part of the environmental chapter in Bhutan’s new constitution that also includes concrete sustainable solutions—to set a network of biological corridors where animals are allowed to roam free throughout the country. Follow link in @ciriljazbec profile to read the @natgeo story published earlier this year.",1986,518672,"['horse', 'ecosystem', 'horse like mammal', 'fauna', 'mane', 'tree', 'mare', 'pasture', 'mustang horse', 'grass']"
76,76,https://scontent-sea1-1.cdninstagram.com/vp/6fcfe5364414e24f3c72e5088d984ccd/5C70EAE5/t51.2885-15/e15/c180.0.720.720/s480x480/42970929_343608639759862_1017181833964388647_n.jpg?ig_cache_key=MTkwNTY3MjY4ODQyMTk3MDcxMw%3D%3D.2.c,"Photo by @stevewinterphoto | On October 29th, the government of China revealed that it will allow commercial trade in tiger bone and rhino horn from farmed animals for use in traditional Chinese medicine research and clinical treatments. Debbie Banks, Environmental Investigation Agency UK, Tiger Campaign Director says: “At a single stroke, China has shattered its reputation as a growing leader in conservation following its domestic ban on the sale of ivory at the start of the year. It is instead revealed as a sham, its international image in tatters and its credibility destroyed—and all for the sake of deeply questionable business sectors which serve only to drive consumer demand for the parts and products of endangered species. History will not judge the Government of China kindly or with respect for such a reactionary, ill-judged and damaging decision.” China’s action stands in sharp contrast to the country’s moves to combat poaching in recent years. The country has had a 25-year-old ban in place preventing the import or export of these products. And the World Federation of Chinese Medicine Societies—the official group that dictates what can be used in traditional medicine—also removed rhino horn and tiger bone from its list of products approved for use on patients (though the market still existed for them). This will further the trade in wild tigers, as the “wild tiger” will now be more valuable than farmed. @natgeo @stevewinterphoto @wildaid @eia_news",11579,450738,"['flame', 'fire', 'heat', 'roasting', 'animal source foods']"
77,77,https://scontent-sea1-1.cdninstagram.com/vp/1395795a29f1be97abf1a01011bcdd2f/5C6E911C/t51.2885-15/e15/c0.133.1080.1080/s480x480/43052085_112409546365038_6851578656621432105_n.jpg?ig_cache_key=MTkwNTU5OTQyODc0NTMwNzcyOQ%3D%3D.2.c,"Photo by Moises Saman @moisessaman | Central American migrants catch a ride in the back of a trailer truck as they move near the town of Los Corazones, in the southern Mexican state of Oaxaca on Oct. 27, 2018. The migrants on this caravan of about 3000 Hondurans speak of their need to escape endemic violence and poverty in their country, and are determined to reach the US border to request asylum in the United States. Shot on assignment for National Geographic. @magnumphotos",1756,232507,"['black and white', 'monochrome photography', 'troop', 'vehicle', 'monochrome', 'military', 'crowd', 'car', 'crew']"
78,78,https://scontent-sea1-1.cdninstagram.com/vp/063474437655e8c3cb3e9e5f62ced934/5C7CFC6D/t51.2885-15/e15/c108.0.863.863/s480x480/42437700_329174901243947_4111914908916797926_n.jpg?ig_cache_key=MTkwNTIyMTY5Nzc4MDExNTcyMQ%3D%3D.2.c,"Photo by @TimLaman | Aerial view of the spectacular Waigeo Island, with Kabui Bay in the foreground and Mayalibit Bay in the distance. This is one of the Raja Ampat Islands, home of the Red and Wilson’s Birds-of-Paradise, and part of the “Conservation Province” declared by the Province of West Papua, Indonesia. This province, along with its neighbor to the east, Papua Province, made a large commitment to a green future on Oct. 10 at a major international conference in Manokwari by committing to preserve 70% of their land as forest. This is hugely significant for our planet, and hats off to the bold leaders who have the courage to take this action. #ConservationProvince , #ProvinsiKonservasi  #RajaAmpat , #Waigeo , #Papua , #Indonesia , #TanahPapua , #PapuaBiodiversity , @BirdsofParadiseProject. To see my new video on the incredible birdlife of this province, see the link in my profile @TimLaman.",1048,471717,"['water resources', 'ecosystem', 'nature reserve', 'vegetation', 'archipelago', 'aerial photography', 'reservoir', 'crater lake', 'lake', 'promontory']"
79,79,https://scontent-sea1-1.cdninstagram.com/vp/2eb3a245c4b0a4f9ca8b40cfd803780b/5C641D5B/t51.2885-15/e15/c4.0.1071.1071a/s480x480/44257462_123407398648191_3496467633617906552_n.jpg?ig_cache_key=MTkwNTE0NTM5MzI4MjIzNTM1Ng%3D%3D.2.c,"Photo by Daniella Zalcman @dzalcman | Vinny's mirror hangs from a tree in the Runnymede Eco-Village, an intentional community that existed just outside London from 2012-2015. The forty or so residents called themselves the Diggers, after a group of land rights activists who occupied an area just a few miles away in 1649. The original Diggers believed that land had become over-privatized. As long as they were cultivating and caring for the area they inhabited, they claimed, they had a right to remain. While the 21st century community made a similar argument, they were eventually evicted from the property in September, 2015.",1061,424204,"['tree', 'trunk', 'branch', 'woodland', 'forest', 'wood', 'twig', 'plant', 'old growth forest', 'grass']"
80,80,https://scontent-sea1-1.cdninstagram.com/vp/05ad8a71ddd8a462f91e6c6736ee415f/5C739566/t51.2885-15/e15/c180.0.720.720/s480x480/43133326_649297935465307_3669267011894453313_n.jpg?ig_cache_key=MTkwNTA2OTc3NzMwNDI0OTcwNw%3D%3D.2.c,"Photo by Federico Rios @historiassencillas | As the number of migrants from Venezuela to Brazil grows, government shelters have provided temporary housing for more than 700 Warao. Shelters offer a place to sleep, food and basic medical care. Inside this camp in the border city of Pacaraima, the shelters are full, so newly arriving migrants have to sleep on the streets or continue their migration further south to Boa Vista, Brazil. See more photos @historiassencillas and in the November issue of National Geographic Magazine. #Brazil  #Venezuela  #refugees ",644,143938,['recreation']
81,81,https://scontent-sea1-1.cdninstagram.com/vp/f2651916d724cf509c9df3483cadc8aa/5C887C9A/t51.2885-15/e15/c180.0.720.720a/s480x480/43914599_1968244966592406_4617769199002881052_n.jpg?ig_cache_key=MTkwNDk5NDMzMjU3OTc2NzY3Mw%3D%3D.2.c,"Photo by @stephenwilkes. | Captivated by this painterly scene of autumn in Bella Coola. To see more photos from my travels near and far, visit me @stephenwilkes. #DayToNight  #StephenWilkes  #BellaCoola  #Canada  #CoastMountains  #Fallfoliage  #Aerial ",940,469440,"['nature', 'wilderness', 'sky', 'mount scenery', 'mountainous landforms', 'nature reserve', 'highland', 'ecosystem', 'leaf', 'mountain']"
82,82,https://scontent-sea1-1.cdninstagram.com/vp/169eec06b830ea8a6cc3797192d06d81/5C671906/t51.2885-15/e15/s480x480/43818161_2757288987829958_4170309479973356434_n.jpg?ig_cache_key=MTkwNDg4ODQ1MDM5NTM2OTMzMA%3D%3D.2,"Photo by @dguttenfelder | On a small patch of land under a highway overpass in western Tokyo, Katsuo Takeuchi threshes his family’s rice. On assignment for @natgeo in #Tokyo .",430,228329,"['farm', 'field', 'agriculture', 'plant', 'rural area', 'tree', 'harvest', 'grass', 'grass family', 'hay']"
83,83,https://scontent-sea1-1.cdninstagram.com/vp/6abad0a409dd05fb131ef235b7707e97/5C7109C0/t51.2885-15/e15/s480x480/44673348_509114062886625_2933242203252484399_n.jpg?ig_cache_key=MTkwNDgxMjg2OTU5OTI4MDU5Mw%3D%3D.2,"Photo by @markosian | Doud rests at a local pool in Wolfsburg, Germany. The 10-year-old is a refugee from Iraq who arrived to Germany in 2015. He is now among a group of refugees who are learning to swim as a way of overcoming their fear of water and the journey they made.",955,302832,"['yellow', 'darkness', 'light', 'photography', 'lighting', 'night', 'reflection', 'human', 'hand', 'sky']"
84,84,https://scontent-sea1-1.cdninstagram.com/vp/7ba5f87f2935f16c0b38e6090d10515a/5C842BBA/t51.2885-15/e15/c180.0.720.720/s480x480/44470662_985947788263774_6661831645426014347_n.jpg?ig_cache_key=MTkwNDczNzc1NTkxMzYyNzgwNg%3D%3D.2.c,"Photo @tbfrost | When forests are cut and burned, slow-moving creatures, especially reptiles, often are caught in the fires and burned alive. In this photo @harry__turner is holding the remains of an 8-foot red tail boa constrictor we found on the edge of a forest that had been in flames just days before. Smoke was rising from the earth and the ground was still hot to the touch. There was no color, just black and grey. The scene suggested the snake had slithered as fast as possible to make it to the river, but that the burns to over half its body overwhelmed it, and the beautiful creature died just a few feet from safety. The sadness amongst us was such that one could feel it in the air. The hardest part wasn’t that they died but how they died. In one hour of searching a football field-sized clearing, @harry__turner, @melissalesh, and I found 4 dead snakes, 4 dead yellow footed tortoises, dozens of lizards and rodents, and hundreds of insects. The loss of rainforest alone gives all of us, including me, good reason to think more carefully about the sources of the things we buy. But knowing so many animals meet their end like this has renewed my vigilance to be a more careful consumer. Head on over to @tbfrost to see a happier photograph of this same species of boa alive and well, living in a national park. #snakes  #snakesofinstagram  #rainforest  #peru  #snek  #fires  #deforestation  #reptiles ",6868,538705,"['boas', 'boa constrictor', 'scaled reptile', 'reptile', 'snake', 'serpent', 'tree']"
85,85,https://scontent-sea1-1.cdninstagram.com/vp/b3c00b14507b82bdaf5a07b7d47c48ca/5C657D45/t51.2885-15/e15/c180.0.720.720/s480x480/42004018_263483694309902_2093494549220855030_n.jpg?ig_cache_key=MTkwNDY2MzUyOTUyNjI1NDk4OA%3D%3D.2.c,"Photo by @beverlyjoubert | It looks like a snarl, but it is in fact a response to pheromones known as the """"flehmen"""" response. This is seen in a number of mammals and most cats (including house cats), and allows them to check the reproductive or territorial status of others. Both males and females will bare their teeth like this when they come across a scent that gives them a chemical signal. This dominant male is testing the pheromones in the urine of a female who is coming into estrus and, after sensing her readiness, will track her very closely. Follow @beverlyjoubert for more on big cats and African wildlife #BigCats  #Flehmen  #ThisIsMyTrophy  #FelineCanines ",1308,481396,"['wildlife', 'lion', 'roar', 'facial expression', 'mammal', 'fauna', 'masai lion', 'terrestrial animal', 'snout', 'big cats']"
86,86,https://scontent-sea1-1.cdninstagram.com/vp/d5d4343d8a963fb523f73f2f587c7af5/5C8A6A5F/t51.2885-15/e15/c0.133.1080.1080/s480x480/44303631_368879790345977_4669747051121716074_n.jpg?ig_cache_key=MTkwNDU5MTMxOTkxMDQwMzUwMQ%3D%3D.2.c,"Photo by Moises Saman @moisessaman | Salvadorian migrants arrive in the Guatemalan border town of Tecun Uman, along the Guatemala-Mexico border, after walking for a day from San Salvador. The caravan of migrants spent one night in Tecun Uman, where they rested, were fed by donations from the townspeople and local and international NGO’s, and charged their mobile phones before crossing the border into Mexico and continuing their journey toward the United Sates. The caravan of migrants left San Salvador on Oct. 31, 2018 and is determined to reach the United States. Shot on assignment for National Geographic. @magnumphotos",1007,160925,"['black and white', 'car', 'monochrome photography', 'snapshot', 'photography', 'vehicle', 'monochrome', 'street', 'human behavior', 'wheel']"
87,87,https://scontent-sea1-1.cdninstagram.com/vp/289b863428633f8d717eda1c87b0fb27/5C874583/t51.2885-15/e15/c181.0.718.718/s480x480/45298698_356995778390184_2617323124046749424_n.jpg?ig_cache_key=MTkwNDM5MDQwNzIyOTEyOTIzNA%3D%3D.2.c,"Photo by @lynseyaddario | I photographed women in Afghanistan, which has one of the highest rates of maternal mortality in the world for my @natgeo story ‘Veiled Rebellion’. Pictured above, Noor Nisa, eighteen (right), was in labor and stranded with her mother in Badakhshan Province, Afghanistan, November 2009. Her husband’s first wife died during childbirth, so he was determined to get her to the hospital, a four-hour drive from their village. His borrowed car broke down and I ended up taking them to the hospital, where Noor Nisa delivered a baby girl. #photojournalism  #itswhatido  #lynseyaddario ",1013,271691,"['sky', 'ecosystem', 'mountainous landforms', 'mountain', 'cloud', 'ecoregion', 'landscape', 'hill', 'rock', 'steppe']"
88,88,https://scontent-sea1-1.cdninstagram.com/vp/2a977c3b3629eb4cc1304190f85ce815/5C80C71C/t51.2885-15/e15/s480x480/44496348_1043835022467668_6954690572501354761_n.jpg?ig_cache_key=MTkwNDMxNTg0MDAzNzAyNDU2Mg%3D%3D.2,"Photo by @stevewinterphoto | Jaguars love the water. This male jag is looking for caiman for her dinner—while a female waits on the bank. Shot in August in the Pantanal of Brazil. Our animal family is so much like us: They find mates, they have kids, they have to feed themselves and their families. If we can find a way to believe they think, feel, and have emotions, we will all be better humans. We need to treat them better and find a way to ensure their future on this planet. They are keystone species in their ecosystems, though we as humans are not. Jaguars are the third largest of the big cats. They are found from the U.S./Mexico border to northern Argentina. Jaguars have rebounded in Brazil's Patanal, where 95% of the land is privately owned. In the past many ranchers would kill the cats when they ate their cattle. Today in this area tourism brings in much more money to the local economy than cattle ranching. So the jaguar population is increasing. But revenge killings of jaguars happen close to this area and all throughout the jaguar's range. Poaching for skins, bones, and teeth is also growing for the first time since the 1970s to feed the demand of people who think they receive the “power of the jaguar through their teeth,” Chinese traditional medicine, and now luxury items from endangered species. “When the buying stops, the killing can too.” @wildaid My first story with big cats was the first @natgeo jaguar story 20 years ago! It has changed my life working with the magical and magnificent cats of the world. Animals have emotions just like we have. Follow me @stevewinterphoto to see more images and THANKS! @stevewinterphoto @natgeo @nglive #nglive  @natgeochannel @natgeowild @thephotosociety @natgeocreative @africanparksnetwork @jaguar #jaguar  @pantanalsafaris #rightplacerighttime  #naturalworldsafaris ",1777,703196,"['jaguar', 'leopard', 'terrestrial animal', 'wildlife', 'mammal', 'fauna', 'big cats', 'cheetah', 'cat like mammal', 'organism']"
89,89,https://scontent-sea1-1.cdninstagram.com/vp/eda2fa508bcf8fa9300f27793a122216/5C6B22CA/t51.2885-15/e15/s480x480/43747451_530443217424833_1328067380995027217_n.jpg?ig_cache_key=MTkwNDI0MDg0NzcxMDA5NTIzNg%3D%3D.2,Photo by @dguttenfelder | An early morning view of Pyongyang along the banks of the Taedong River in September 2018.,428,285835,"['waterway', 'sky', 'reflection', 'dawn', 'horizon', 'river', 'morning', 'sunrise', 'dusk', 'atmosphere']"
90,90,https://scontent-sea1-1.cdninstagram.com/vp/e6b2d52bfe98c368858bf451005aaf3f/5BEF4CD5/t51.2885-15/e15/c236.0.607.607/s480x480/44405918_757092847960048_5233062128641617331_n.jpg,"Video by Moises Saman @moisessaman | Salvadoran migrants crossing the Suchiate river which is the border between Guatemala and Mexico on Nov. 2, 2018. These migrants are part of a caravan of over a thousand people that left San Salvador on Oct. 30, 2018. They are determined to reach the United States. The Suchiate river demarcates the border between Guatemala and Mexico near the Mexican city of Tapachula. The caravan decided to cross the border illegally after Mexican immigration authorities offered them asylum in Mexico, but not safe passage to the United States. @magnumphotos",4736,162316,
91,91,https://scontent-sea1-1.cdninstagram.com/vp/6305979546875fc9f16ad1a6af9d7f57/5C7D7BEA/t51.2885-15/e15/c180.0.720.720/s480x480/43915346_186472752292641_595562567038823367_n.jpg?ig_cache_key=MTkwNDA5MjE5NTcyOTU0Mjg0NQ%3D%3D.2.c,"Photo by Michaela Skovranova @mishkusk | Green turtles are thought to live for up to 80 years. What a different ocean that would have been when they dipped their head underwater for the first time. Like other sea turtles, the females return to the very same beach on which they were hatched to lay their eggs, often covering hundreds of kilometers in the process. This photograph showcases a young green turtle that has been successfully released back into the wild with a temporary satellite tracker attached. The tracker will collect valuable information that will allow researchers to track where the turtles are, the route they have traveled, and how fast they may be moving. #ocean  #turtle  #shellybeach  #australia  #sydney  #nature  #wildlife  #marinesanctuary  #naturelovestories ",474,293610,"['turtle', 'sea turtle', 'underwater', 'marine biology', 'loggerhead', 'sea', 'organism', 'water', 'reef', 'emydidae']"
92,92,https://scontent-sea1-1.cdninstagram.com/vp/9873231d9fea0e0da00ee5a22e33d19a/5C661136/t51.2885-15/e15/c76.0.927.927/s480x480/44293390_2220391244912248_3903645783051783815_n.jpg?ig_cache_key=MTkwMzkzOTAxODU4OTkyNTcyOQ%3D%3D.2.c,"Photo by Pete McBride @pedromcbride | Silence is more memorable than the views. “The brush of bat wings in the morning over your head. The clatter of sheep hooves on the rock across the river. It sounds as if it’s close by, but it’s not,” says McBride. “And then you realize just how quickly that silence can be shattered."" From a recent @natgeo story on my Grand Canyon project. To read more or learn more, follow @pedromcbride #grandcanyon  #betweenriverandrim  #silence  #humility  #petemcbride ",965,478427,"['sky', 'badlands', 'cloud', 'wilderness', 'horizon', 'canyon', 'national park', 'geological phenomenon', 'atmosphere', 'rock']"
93,93,https://scontent-sea1-1.cdninstagram.com/vp/6429768e65b878aff03e7dad24502c82/5C650F29/t51.2885-15/e15/c180.0.720.720/s480x480/43252105_129056538079440_4049361299054527811_n.jpg?ig_cache_key=MTkwMzg2MTgxMjI3NDU3NTE1OA%3D%3D.2.c,"Photo by @nicholesobecki | Wooden carts drawn by donkeys rattle along the streets of Hawassa, an Ethiopian city in the Great Rift Valley. I came across this scene while working on a story about Ethiopia’s emerging manufacturing industry — a growing economic space in a country where more than three-quarters of the workforce is engaged in small-scale agriculture. Taken just blocks away from the sprawling Hawassa Industrial Park, this image felt outside of time and made me think of how ones traditions coexist alongside the drive for change. #ethiopia  #economy  #manufacturing  #industry  #tradition  #nicholesobecki ",425,194932,"['morning', 'sunlight', 'dust', 'sky', 'tree', 'stock photography', 'grass family', 'grass']"
94,94,https://scontent-sea1-1.cdninstagram.com/vp/9a239dad2a2e28bb8c5e944b1d5c9e52/5C7E70D6/t51.2885-15/e15/c180.0.720.720/s480x480/43778507_101524327490557_80833471048006157_n.jpg?ig_cache_key=MTkwMzY5NjIzODc2ODc4MjIwMw%3D%3D.2.c,Photo by Michael Yamashita @yamashitaphoto | Naruko Gorge is one of Japan's best places to see fall colors. #narukogorge  #Miyagi  #Japan  #autumn ,1121,468022,"['nature', 'tree', 'autumn', 'woody plant', 'leaf', 'deciduous', 'maple tree', 'maple leaf', 'branch', 'temperate broadleaf and mixed forest']"
95,95,https://scontent-sea1-1.cdninstagram.com/vp/a921f6fe4a2ad54a518572c82a931bcb/5C7C04EE/t51.2885-15/e15/s480x480/43985583_354614405084152_2248513445123204200_n.jpg?ig_cache_key=MTkwMzYyMjc0NDkxNTcwNDE5OQ%3D%3D.2,"Photo by @PaulNicklen | While photographing at Cooper Bay in Antarctica, I managed to capture this shot of a macaroni penguin’s eye. Although they live in frigid snow and ice, their eyes are a fiery red. These penguins are full of energy and spunk and are distinguishable by the “V” shaped yellow crest located on the centre of their forehead which extends towards the back of their head. #FollowMe  on @PaulNicklen for more photos from the Antarctic and check out @natgeo magazine's November issue for my most recent work in this polar paradise. #penguins  #wildlifephotography  #explore  #Antarctica ",1926,429463,"['red', 'close up', 'eye', 'macro photography', 'iris', 'circle', 'computer wallpaper']"
96,96,https://scontent-sea1-1.cdninstagram.com/vp/8e0edbd83cc687ca20f8c6e4a5b38758/5C6F15D7/t51.2885-15/e15/s480x480/44747232_250537265819810_2677720912695604288_n.jpg?ig_cache_key=MTkwMzU0NTA0MzAwMTM4MjU3OA%3D%3D.2,"Photo by @dguttenfelder | North Korean women play traditional instruments and drums on the field of the May Day Stadium in September 2018, during a debut of a new ""Mass Games"" event to mark the 70th anniversary of the founding of the nation. In the stands of the stadium, citizens use colored cards to create a giant mosaic depicting the city of Pyongyang.",850,272924,"['sport venue', 'structure', 'stadium', 'biome', 'grass', 'arena', 'crowd', 'sky', 'aerial photography', 'world']"
97,97,https://scontent-sea1-1.cdninstagram.com/vp/6bc1d38948dc432bae9454009ea912b2/5C818C9E/t51.2885-15/e15/c97.0.886.886a/s480x480/43146210_2103771063286422_3924453519850675680_n.jpg?ig_cache_key=MTkwMzQ2ODA3ODczMDkxOTIwOA%3D%3D.2.c,"Photo by @pedromcbride | Celebrating Peace: I recently witnessed a remarkable event in northern Kenya where five tribes that have historically fought against each other—put their differences aside and danced—together. Led entirely by women with @nrt_kenya this peace meeting was the first of its kind and a message for young and old men, and women alike to work together to protect their world and the natural world that sustains them, including wildlife, water and grasslands. Under the glow of car lights, these pastoral women danced into the night, all singing traditional songs and creating new ones. @usaid #inspired  #hope  #kenya  #africa  #dance  #peace  #petemcbride ",524,224559,"['tradition', 'carnival', 'festival', 'computer wallpaper']"
98,98,https://scontent-sea1-1.cdninstagram.com/vp/7598cec7d227525276580472c5264088/5C78AB44/t51.2885-15/e15/c52.0.976.976/s480x480/44000241_697319437321149_990378008439969352_n.jpg?ig_cache_key=MTkwMzMzNDkxMjg0MjA4OTAyNQ%3D%3D.2.c,"Photo by Muhammed Muheisen @mmuheisen | ""I want what every mother wants, to raise her children in a safe place”. Narmeen, a Syrian refugee mother whom I photographed last July at the informal extension of Moria camp in the Greek Island of Lesbos. Narmeen's image is part of my exhibition ""Light on the Move"", a selection of images showing the daily life and the challenges refugees face. The exhibition is currently displayed at Museum of Cycladic Art in Athens, organized by @iomgreece. For more photos and videos of the refugee crisis follow me @mmuheisen @everydayrefugees and @mmuheisenpublic #everydayrefugees  #muhammedmuheisen ",809,182823,"['tree', 'plant', 'waste', 'grass']"
