,date,author,quote,comment
1175,July 2014,driver100,@imidazol97 said: We have to wonder how many hidden dangers lie in those vehicles while the drivers think they are safe.,"If you watch the clip, notice the PC and the chauvenism. They didn't have the ladies testing regular BMW's for their feedback, nor regular sedans of any brand. Or did I miss that in the videos?"
1176,July 2014,bwia,"@imidazol97 said:
YOLANDA VAZQUEZ of Motorweek CAROLL LACHNIT of Edmunds.com","The problem with that program is that you have to spend 20% more to buy groceries at Stop & Shop instead of Market Basket where I go. But with the family squabble there, I have been forced to use S&S and Shaw's."
1177,July 2014,bwia,"@driver100 said:
Do I want to not drive my car because a bolt has to be replaced in the seat? There are so many other brands to choose from, do I need this kind of problem?",The $2.40 a gallon is great but that means you spent $2400 on groceries in the past 30 days!! The max is actually $2.20 and you earn $0.10 per gallon off with $100 in purchases. Still means your family spent $2200 at S&S in 30 days. Your max savings is $77 at the pump when you do so.
1178,July 2014,oldfarmer50,"@bwia said:
I know it is still safer to fly than drive but these recent airline disasters are unsettling.","If it works for you, great. Since I have Market Basket nearby, I prefer the 4% discount on groceries they are giving this year as well as the lower everyday prices they have."
1179,July 2014,stickguy,No Quote,Exactly.
1180,July 2014,rbirns1,No Quote,Not really. My wife is the one who does the grocery shopping and she is able to get bonus points galore. Don't ask me how she does it but she leverages her savings by shopping at both Shaws and Stop & Shop.
1181,July 2014,driver100,"@rbirns1 said:. Passenger air travel is way safer. Only difference is every crash makes the news, unlike cars",That statement sounds like a classic case of turning a bad thing into a good thing. GM is being extra careful so is a safer company....the other car companies don't have as many recalls because they don't care. Maybe it is because the other companies build their cars with more care. Maybe they haven't allowed shody workmanship to creep into the culture.
1182,July 2014,imidazol97,"@bwia said:
I watched that Motorweek episode, and as a matter of fact I recorded it. I believe the theme of the show was what women want in a car. With that in mind I don't think it had a chauvinistic slant.They felt that the Buick Enclave matched their tastes and desires and as a result their top pick. In the end it felt like an Infomercial for the Enclave though.","I have a feeling GM isn't just being overly cautious, this is do or die for them. They can't get away with pushing recalls under the rug."
1183,July 2014,dino001,@driver100 said:,"Some of the recalls are trivial, but many show sloppy attention to detail."
1184,July 2014,snakeweasel,No Quote,"The automaker is recalling more than 822,000 cars worldwide for a variety of issues, including problems with seats, air bags and turn signals, parts that may not have been welded together properly, and a loss of power steering."
1185,July 2014,snakeweasel,No Quote,"Some of the cars in the latest recall have already been recalled multiple times for other problems. The 2014 Chevrolet Impala, for instance, was identified in February as having a defective transmission shift cable adjuster, which could cause the car to roll away after the vehicle was parked. In June, it was recalled again because the ignition could shut off while the car was in motion, cutting power to the engine and causing the air bags to fail. G.M. recalled more than 65,000 Impalas on Wednesday for a loss of power steering, and it tied the defect to one crash but no injuries."
1186,July 2014,stever,No Quote,"The company also recalled more than 475,000 cars — including models of the Chevrolet Camaro and Equinox; GMC Terrain; Buick Regal and LaCrosse; and the Cadillac SRX — because of a defect that allows the front and passenger seats to move up and down freely because of a loose bolt. G.M. said it was aware of one crash and three injuries related to this condition. It added that the car was safe to drive, but that customers should not use the power height adjuster until the car had been fixed."
1187,July 2014,Michaell,"@stever said:
I'm sitting at LAX reading this discussion. Would be nice to be within driving distance of the home office, and in a month after we move, that will be feasible. I don't mind flying too much, but it's just more fun cruising behind the wheel of your own car.","Do I want to not drive my car because a bolt has to be replaced in the seat? There are so many other brands to choose from, do I need this kind of problem? The recall problem at GM is out of control, and I doubt it is because GM is the only company looking into problems....because they care."
1188,July 2014,stever,No Quote,"I watched that Motorweek episode, and as a matter of fact I recorded it. I believe the theme of the show was what women want in a car. With that in mind I don't think it had a chauvinistic slant.They felt that the Buick Enclave matched their tastes and desires and as a result their top pick. In the end it felt like an Infomercial for the Enclave though."
1189,July 2014,ab348,"@driver100 said:
That statement sounds like a classic case of turning a bad thing into a good thing. GM is being extra careful so is a safer company....the other car companies don't have as many recalls because they don't care. Maybe it is because the other companies build their cars with more care. Maybe they haven't allowed shody workmanship to creep into the culture.","Still safer than flying. Two air disasters in two days? 116 souls perished today when an Algerian airline crashed. Yesterday, 48 lost their lives when a flight from Taiwan crashed due to severe weather conditions."
1190,July 2014,verdugo,@Kirstie_H said:,I know it is still safer to fly than drive but these recent airline disasters are unsettling.
1191,July 2014,driver100,"@ab348 said:
GM is recalling everything that has any problem reported relating to it. It might be one or two incidents for a given model, but they are recalling many thousands just to be sure. It gives some people an opening to bash them at will. Go ahead, enjoy it while you can.",Are you planning a trip to Mali or Malaysia soon?
1192,July 2014,imidazol97,@driver100 said:,Everything on motor week cones across as an infomercial.
1193,July 2014,imidazol97,"@driver100 said:
If BMW had constant recalls I doubt if I would buy one until they got past the problems. I don't want to park a car I want to use when I want to use it. I don't have the patience or that much loyalty. It sounds like you trust GM no matter what, and you have made the recalls sound like a good thing. I think the recalls indicate a problem, and I am not there to support them no matter what they do.","How many people died in car crashes the past two days? Guarantee it was way more than died in those plane crashes. There is no comparison. Passenger air travel is way safer. Only difference is every crash makes the news, unlike cars."
1194,July 2014,abacomike,No Quote,"Not arguing, but I once read an article that said car travel was safer, if you consider exposure time. Plane travel covers many miles for a much shorter period of time. The article said car travel was safer if you only consider the time you are exposed."
1195,July 2014,imidazol97,"@ab348 said:
but never seem to recall any of them.","Might be another, statistics can say what you want them to say."
1196,July 2014,dino001,No Quote,"I also wonder, at least you can do somethings to defend yourself in a car. Hard to be defensive when you are a passenger on a plane that is blasted out of the sky by madmen."
1197,July 2014,driver100,"@imidazol97 said: Then the owners don't want to pay for it outside the 4-year service warranty, so they look for the shortcuts.","So it was the Enclave they picked in one category! In the Heels and Wheels story I linked they picked the Envoy IIRC.
I'll give you that I'm a little picky about the chauvinism. But why not have the ladies do test drives of the Lamborghini on
Motorweek? Or the Golf they just tested?"
1198,July 2014,driver100,"@abacomike said:It's not that I am ANTI GM, but rather concerned about buying a car from any company that has a history of recalls and/or concealment.","What I would like to see is instead of having the testosterone-handicapped 30-year old guys test driving the various
Hellcats and other high horsepower and high performance vehicles, Let's let the ladies who are car oriented pick which
vehicles to test drive and drives ones that more of us are likely to be interested in buying. I would like to see the
BMW models critiqued by someone who is not interested in racing as their sole driving mode. Same for the many
others on Motorweek or in the car mags."
1199,July 2014,roadburner,No Quote,"Maybe they could test drive the Buick Regal which just came in 1 point behind a BMW model in the testing
by CR of premium small cars, tying the C250. CTS and ATS were also near behind; 84, 83, 83, and 76/76."
1200,July 2014,driver100,"@dino001 said: Yeah, those poor abused Honda or Toyota customers, Evil Japanese fixed their car and didn't tell them. GM way, i.e. not doing anything, is sooo much better.","But we won't see that touted around the internet by the car mags or Motorweek.
http://www.autonews.com/article/20140722/RETAIL03/140729989/buick-regal-volvo-s60-join-consumer-reports-list-of-top-upscale"
1201,July 2014,nyccarguy,No Quote,@roadburner‌
1202,July 2014,driver100,"@roadburner said:Having said that, the same is true of almost every other brand out there except for BMW, Jeep, Mazda, or Porsche...",The C7 is most definitely at the top of the short list of GM cars I'd own. I'd also add the Buick Regal & Chevrolet Cruze Diesel to that list.
1203,July 2014,bwia,No Quote,"Just curious. Why would you consider those brands but not say, Mercedes, Audi, (comparable to BMW) Nissan, Honda, (comparable to Mazda)? Hmm, nothing quite comparable to Jeep or Porche I suppose."
1204,July 2014,ray80,No Quote,Sorry I cannot add to the anti-GM debate except to say that perhaps we should have more of an open mind with respect to GM products. Whether one buys a German marque or a domestic brand is a choice one makes to differentiate his social class. And of course one pays dearly for that distinction.
1205,July 2014,dino001,"@bwia said:
GM is the #1 domestic auto maker for a reason.","GM is the #1 domestic auto maker for a reason. Its products are beautifully styled, practical and reliable. (Yes reliable!) While its unfortunate that some deaths have been attributed to poor design or defective parts it not fair, however, to throw the baby out with the bath water."
1206,July 2014,ab348,"@bwia said:
Sorry I cannot add to the anti-GM debate except to say that perhaps we should have more of an open mind with respect to GM products. Whether one buys a German marque or a domestic brand is a choice one makes to differentiate his social class. And of course one pays dearly for that distinction.
GM is the #1 domestic auto maker for a reason. Its products are beautifully styled, practical and reliable. (Yes reliable!) While its unfortunate that some deaths have been attributed to poor design or defective parts it not fair, however, to throw the baby out with the bath water.
In addressing these problems GM has taken a comprehensive approach to safety by recalling vehicles for every minor issue, regardless of cost, that now runs into the billions of dollars. By doing so it is trying to reassure the public that GM's products are safe and the company will stand behind its promises, implied or expressed. That is a responsible thing to do and the company should be applauded for its efforts rather be derided as some have chosen to do.
C'est tout","In addressing these problems GM has taken a comprehensive approach to safety by recalling vehicles for every minor issue, regardless of cost, that now runs into the billions of dollars. By doing so it is trying to reassure the public that GM's products are safe and the company will stand behind its promises, implied or expressed. That is a responsible thing to do and the company should be applauded for its efforts rather be derided as some have chosen to do."
1207,July 2014,dino001,"@snakeweasel said:
More likely it's because when a plane crashes it leads to hundreds dead while a car accident rarely exceeds 4.",C'est tout
1208,July 2014,driver100,"@dino001 said:. I don't think their cars are ""crap"" or anything, I simply don't like big, bulky vehicles with huge chrome grills.","Got a letter in the mail the other day from Jeep dealer. Pretty much the usual thing, my GMC could be worth $$$$ towards trade in. Couldn't help but notice (because it was in very red background color) the box in upper right asking if I was tired of GM recalls. Timing of mailer could have been a tad better as it came the same day the newest Jeep recall was announced (for switchs that could be bumped, knocking it out of run position and disabling power steering,brakes and air-bags). Hope they didn't waste to much money on that one"
1209,July 2014,qbrozen,No Quote,"That's true, but the reason may be much more complex than you would like to admit. In Germany, VW is No. 1 domestic market company, in France it is Renault, in Japan it is Toyota, in Korea it is Hyundai, etc. I don't think any of those cases have much to do with true superiority of the product, it is rather a mix of incumbency, pricing, cost, government intervention (customs, regulations) and some national(istic) pride. This includes GM."
1210,July 2014,dino001,"@qbrozen said:
Can't say I understand the GM bashing based on recalls.","Strip GM from its fleet sales (rental and especially companies from industries compelled by Buy America clause) and how do their sales look then? Perhaps it's not fair to exclude those fleet sales completely, but it is fair to put asterisk on them, because factors going into fleet decisions are different than individual's - mostly it has to do with spending somebody else's money, also with government regulation."
1211,July 2014,dino001,@driver100 said:,"I actually agree with you on something - their product is PROBABLY best it has ever been, in many cases it became comparable to its foreign competition (partially due Honda/Toyota lowering the bar, IMHO). All I can say to them keep going and you'll be rewarded. However, it is not reasonable to expect for people to change their minds on a dime, just because the product is better. This is a process. It was 30 years of continuous ""effort"" on GM part to squander so much of good will, the full recovery time is probably going to be equally long, if not longer. They have to win customers one at a time. BTW, I have similar problem with GM to Roadburner - there simply isn't much there that I find appealing to own. I don't think their cars are ""crap"" or anything, I simply don't like big, bulky vehicles with huge chrome grills. I wouldn't mind to get ATS, CTS, or Malibu, Impala as a rental, but I simply have no interest of putting a vehicle like that in my garage. Last GM vehicle that I was really (potentially) interested to own was Saab 9-3 Aero, version with hatch. I also like the idea of CTS, but it's a bit bulky and wagon was auto only, unless you got CTS-V, which was too expensive and would have real world gas mileage below 20 mpg."
1212,July 2014,Mr_Shiftright,No Quote,"I didn't get my BMW because of ""badge"", ""prestige"", or any of that stuff, could care less. I got it because it was the only RWD wagon/hatchback with manual transmission, six-cylinder engine and sport suspension offered at price that I was willing to pay. Subaru, which I used to own, was no longer interested in building a car like that. They had WRX, but I ""graduated"" to something more refined, but Legacy is no longer a product it used to be. Audi decided to can that line and sell a nicer Outback instead (Allroad). Benz withdrew completely, Saab went bankrupt. Volvo also missed on couple of points. None of domestics offered anything close, Japanese were not interested, either. It really was BMW or nothing. Today even they don't have manual with hatch anymore."
1213,July 2014,graphicguy,No Quote,"BTW, I find it really interesting that many GM aficionados always cry for ""open mind"" when it comes to their favorite brand, but in next sentence assign all evil to the competitions. Basically they want to have it both ways."
1214,July 2014,dino001,@graphicguy said:,"Now @bwia, we cannot have that kind of attitude here! You'll be drummed out of the group for not jumping on the GM-basher bandwagon if you keep it up with these rational posts. For those who claim that GM makes nothing that interest them, you know what? Most manufacturers are like that for me. Chrysler? Nothing. Ford? Same. Toyota, Nissan, Mazda? Same. Hyundai-Kia? No way. M-B? Love them, but not willing to pay that kind of money. BMW? Love them too (or at least some) but the image and the ongoing and expensive service issues that are well-described here make it a headache I don't want to deal with. All manufacturers have their issues. Let's just recognize what is going on here with GM right now and move on."
1215,July 2014,snakeweasel,No Quote,"This is true. However, one plane goes down in Africa or Ukraine and it is news everywhere. How many people die WORLDWIDE in car crashes in same time between each of those plane crashes? What is a ""density"" of that, i.e. comparable incident rate vs. some metric that could express real probability?"
1216,July 2014,Mr_Shiftright,No Quote,"Regarding hurricanes ""killing"" vs. ""saving"", I'm not convinced - it may be true, but a typical event has a radius of hundreds of miles. When it passes through, there is nobody on streets in vast areas for hours, vs. bustling traffic on a comparable day. It would be really interesting to see real statistics about that."
1217,July 2014,driver100,"@dino001 said: Buy a Cadillac, you'll join most horrible oppressors this planet has seen*.","Psychologists discovered long time ago that humans are very selective in their fears, i.e. their responses are non-linear in nature. Something very rare (and unlikely) but terrible occupies our mind and triggers fears in completely disproportional manner to something that's much more frequent (and likely). Fearing a plane and having no second thoughts about a car ride is completely irrational, but this is the way we respond. Insurance companies discovered that long time ago, hence their businesses are so successful."
1218,July 2014,driver100,@Mr_Shiftright said:what about Subaru's defective head gaskets on their 2.5L engines---they just told owners to stuff it---and Porsche's defective IMS bearings that destroyed many a low mileage engine,"Dino, you get down to the nitty gritty. European cars have a very different style...you can experience it with art (Mona lisa) and with food (Italian Food), movies (no Adam Sandler type movies) and in architecture etc. Not saying better, just different. Some might say more refined, more elegant, very sensible. Interiors are generally elegant but not overdone. There is a difference. I would find it hard to buy a big bulky chrome cladded car as well. Of course not all American cars are that way, but many of them are."
1219,July 2014,oldfarmer50,"@Mr_Shiftright said:
Well the company has no choice but that one. No one is ever going to make the perfect car right out of the box. I mean, other automakers have gotten away with things that are borderline scandalous....what about Subaru's defective head gaskets on their 2.5L engines---they just told owners to stuff it---and Porsche's defective IMS bearings that destroyed many a low mileage engine on the 996 and the Boxster. Precious few owners ever got compensated for those defects, unless under warranty.","The GM fans always throw this ""Badge/prestige/image"" thing out there.......it can only be because they have never driven a European car to know there is a difference. Once you experience the fun to drive feeling, the steering and handling, the right ergonomics, the engineering put into a European car you will know it isn't just an image thing. The car is engineered by people who love cars and know how they should feel....not produced by a corporate conglomerate with committees and bean counters trying to produce a product for a particdular price."
1220,July 2014,ab348,"@driver100 said:
Mistakes do happen",Can't say I understand the GM bashing based on recalls. Recalls don't bother me one iota. I bash GM because the large majority of their cars are just dismal. They offer absolutely nothing that interests me. The upcoming Colorado diesel is the only thing that comes to mind.
1221,July 2014,dino001,No Quote,"I think bashing here is mostly not because GM is recalling cars NOW, it is that that DID NOT recall them when they should have."
1222,July 2014,stever,No Quote,"Exactly. Best example would be recent Cadillac commercial, which for me is a perfect repellant. It features, what I can only describe as ""slave masters of the past"" (some Egyptian Pharao on a carrier, some Indian Maharaja on an elephant and a French Queen from Louis XIV time in a coach) and then shot of happy people in an Escalade coming to some resort, having their bags picked up. If there was an award for most tasteless and disgusting commercial ever, this one would probably be a frontrunner for me. Buy a Cadillac, you'll join most horrible oppressors this planet has seen*.
*Slaves sold separately."
1223,July 2014,abacomike,"@dino001 said:
I think bashing here is mostly not because GM is recalling cars NOW, it is that that DID NOT recall them when they should have.","Essentially, GM is selling version of luxury that I find lacking of basic taste. Everything in your face to the point of grotesque."
1224,July 2014,dino001,No Quote,"I think the best way to judge a car company is to let buyers decide the issue by voting with their wallets. If buyers forsake a product, then that company has done something wrong; if the company prospers, it's hard to argue that there's a not a good reason for it---it might not be the best product, but something---marketing, price, image, whatever--keeps it going."
1225,July 2014,driver100,"@ab348 said:. Maybe the mods should change the title of the discussion to ""GM Bashers R Us - Meet Here"".",My GM experiences have been documented here.
1226,July 2014,robr2,"@dino001 said:
I didn't read Lutz's book. I hope he took some responsibility himself, as he was one of those spineless managers running the company at the time.","I still think anyone who really wants to get a good inside look at GM (and a great education regarding big business), should read Bob Lutz's book. He pretty mush spells out what we all think. That is, GM is a company that is way too focused on archaic processes and policies, while giving too much power to the accountants and lawyers. Can't argue that given those were some of the first firings done after the ignition debacle. The lawyers because they took the stance of ""see no evil, hear no evil, speak no evil"" and threatening their customer base with legal action of their own."
1227,July 2014,Mr_Shiftright,No Quote,"The accountants because in an effort to cut every last penny out of a part (ignition switch) they had their engineering team design, it caused harm and even death."
1228,July 2014,dino001,No Quote,"Lutz told a story about how what is now the ""CUE"" system in the Cadillac came to be. Someone came up with the brilliant idea that no one wanted to use buttons anymore....especially some of the older clients that Cadillac was so afraid to lose. The result? An ill conceived touch sensitive series of sliders (that turn out to be not so touch sensitive because of the cost cutting) that practically no one likes."
1229,July 2014,roadburner,"@driver100 said:
Just curious. Why would you consider those brands but not say, Mercedes, Audi, (comparable to BMW) Nissan, Honda, (comparable to Mazda)? Hmm, nothing quite comparable to Jeep or Porsche I suppose.","I do believe GM is trying to right itself, yet again. They do have some good (not great) products. The afore mentioned Cadillacs and Corvettes being just two. I like their big trucks and SUVs. Owned a Tahoe at one point, which was one of the best vehicles I ever owned. But, my Mother also owned one of the worst vehicles I've ever seen any car company produce (STS)."
1230,July 2014,oldfarmer50,"@roadburner said:
I'd also take a new WRX STi...","I don't know how many more chances the public should give them. Many times, GM doesn't even ask for forgiveness, when they most certainly should."
1231,July 2014,abacomike,No Quote,"The engine in my MS3 is a 2.3 liter that puts out 263 bhp stock. I added a Mazdaspeed cold air intake that added 24 bhp and recently installed a Hypertech tune so it is currently making over 300 bhp. It now has 141k on it and the last used oil analysis(at 135.5k) indicated that the motor is in excellent shape.
The turbo and valve timing actuator were replaced under warranty(at 27k and 47k respectively-both known issues on early build cars). I also replaced the EGR valve at 69k and the thermostat at 131k. I change the oil at 7.5k using Mobil 1 Extended Performance 5w-30 and the coolant gets changed every two years."
1232,July 2014,roadburner,"@oldfarmer50 said:
I'm intrigued that a 4 cyl. Can put out over 300hp. What's the hp of your MS3. I know your's has gone over 100k miles but I'd worry about longevity of such a highly stressed engine.","What you need to remember is that at cruise and/or small throttle openings the engine is not operating under boost, so there is little to no additional stress placed on the engine. If you constantly operated the engine at full throttle you might well effect the longevity of the engine, although in my experience even the occasional track weekend doesn't hurt anything, The Mazda boards do contain stories of blown engines, but in virtually every case the engines have been significantly modified and or have received a ""home brewed"" ECU tune. I wouldn't lose any sleep over owning a 4 cyl. turbo- but then I've owned three: a 1984 Thunderbird Turbo Coupe, a 1991 Volvo 740 Turbo, and my 2007 MS3."
1233,July 2014,bwia,"@abacomike said:
I know I was short-tempered - due to having just heard about my daughter's untimely death. I ask you both for you forgiveness.",You are forgiven. Hugs!
1234,July 2014,roadburner,No Quote,RB Jr. and I are now headed for Chicago to watch Tottenham Hotspur FC play the Chicago Fire tonight. Just for giggles I rented a V6 Challenger for the trip. so my impressions of the Dodge ponycar will soon follow...
1235,July 2014,driver100,@roadburner said:I rented a V6 Challenger for the trip. so my impressions of the Dodge ponycar will soon follow.,Should be interesting...it would be nice to hear your impressions of a 2015 707 hp Hellcat though.
1236,July 2014,oldfarmer50,"@roadburner said:
RB Jr. and I are now headed for Chicago to watch Tottenham Hotspur FC",play the Chicago Fire tonight. Just for giggles I rented a V6 Challenger for the trip. so my impressions of the Dodge ponycar will soon follow...
1237,July 2014,ab348,"@abacomike said:
APOLOGIES",What does that Penstar 6 put out 290hp? Not too shabby but as I've said before it takes a lot to move all that weight. Looking forward to being proven wrong.
1238,July 2014,abacomike,No Quote,"No problem, all water under the bridge."
1239,July 2014,Michaell,No Quote,It's nice to see that we're talking about cars again in this thread.
1240,July 2014,abacomike,No Quote,"However, I'd like to hijack it briefly to ask a question of all my friends here."
1241,July 2014,bwia,"@Michaell said:
After adjustments, the bed seemed pretty comfortable, but I'm still a bit skeptical on the idea of sending $3-5,000 on a bed, even one with a 25 year warranty.
I'm curious wha others think - there are lots of reviews on-line - both pro and con.",Do any of you have a sleep number bed? Do you like it?
1242,July 2014,graphicguy,No Quote,Had some time to kill this afternoon so went to the mall for a look around. Stopped in the sleep number store and was given a thorough demo of their products.
1243,July 2014,stever,No Quote,"After adjustments, the bed seemed pretty comfortable, but I'm still a bit skeptical on the idea of sending $3-5,000 on a bed, even one with a 25 year warranty."
1244,July 2014,driver100,@abacomike said:Volvo had the car in their service department for 12 of the first 13 weeks I owned it.,I'm curious wha others think - there are lots of reviews on-line - both pro and con.
1245,July 2014,stever,No Quote,I have no experience with the sleep number bed but I have heard that it is great for sleeping but lousy for sex.
1246,July 2014,ab348,No Quote,"Had a sleep number. The one I had had to be ""reset"" every month or so as the air bladders had some sort of slow leak. After several months of them sending out new bladders and me constantly disassembling/reassembling, I requested a refund as ot could never be fixed. They balked. Finally went all the way to someone at the exec level, who reluctantly refunded my money, less a pro-rated amount (even though it never worked right from the beginning) and had to pick up the shipping tab to their warehouse (they wouldn't let me return it to the store where I bought it)."
1247,July 2014,driver100,@stever said:. So my grudge has lasted almost as long as @abacomike's has. Funny how that works.,Never again. Will ward off anyone who asks from doing business with them.
1248,July 2014,stever,No Quote,"For that money, get a nice Temperpedic."
1249,July 2014,stickguy,No Quote,"Spent one night with the sleep number, didn't think much of it one way or another."
1250,July 2014,stickguy,No Quote,I've extensive experience with Tempur-Pedic from house-sitting at friends. About two months worth. Really like the foam. Wound up buying the $400 version from Amazon. Going to leave it behind when we move next month.
1251,July 2014,bwia,No Quote,And buy another one.
1252,July 2014,driver100,@stickguy said:My Volvo is getting a complex reading this.,"Our 95 Volvo would just stop running at anytime...on the highway, stopped a t a light, driving down the street. We took it to 3 different dealers, they couldn't fix it. Head office people looked at it. Couldn't fix it."
1253,July 2014,driver100,"@bwia said:
I don’t know where Lexus got its inspiration for its new design language, but to put it mildly, its new garish “spindle grill” is off-putting.
Take for example the new Lexus NXt, an otherwise nice looking compact crossover, but that grill is polarizing. What were they thinking? I will have to give Toyota a two thumbs DOWN on this grill fetish.",When my wife took the Volvo to one dealer she left it and went across the street and tried a Mercedes. She came home and said I don't care if it is a used Mercedes or even a 10 year old one....I'm getting a Mercedes next time. And she did. Turned the Volvo in a bit early (leased) and got an MB. World of difference.
1254,July 2014,isellhondas,No Quote,"It would take a certain set of circumstances to get me to buy another Volvo, though I have had a rental one that was great."
1255,July 2014,driver100,"@stever said:she wound up with a prototypical ""square"" Volvo wagon for most of the 90s and had great luck with it",Hope I am not accused of bashing Volvo here.
1256,July 2014,abacomike,No Quote,"Bwia: I can't help you with sleep numbers but I love memory foam! (sleep number was new and we didn't compare, though could be gimmicky...just thinking)"
1257,July 2014,abacomike,No Quote,"Had two '74 Volvos in the family and they were nothing but trouble, especially the rubber bellows for the fuel injection. Haven't really considered one since. So my grudge has lasted almost as long as @abacomike's has. Funny how that works."
1258,July 2014,driver100,No Quote,"When I was in high school & 1st year of university, Dad bought a new '73 Volvo 144 after a good experience with a '68 144. The '73 was the worst car we ever owned. It still had a manual choke and it would not idle properly unless you choked it a little bit. It was delivered with the front end wildly out of alignment and the front tires were used up in a couple of thousand miles. Would not start in the wet, attributed to electrical problems. Wiper switch fell out of the steering column. Radio failed. It was constantly in the shop. Too bad as it was a comfortable car when it was working."
1259,July 2014,driver100,"@abacomike said:
driver100 said:

“There's an old saying in Tennessee — I know it's in Texas, probably in Tennessee — that says, fool me once, shame on — shame on you. Fool me — you can't get fooled again.”

Leave it to a Canadian to misquote something American - or someone (unless you are pulling your US friends legs)

I believe it is:

""Fool me once, shame on you. Fool me twice, shame on me!""","In those days they advertised the average Volvo lasted 20 years in Sweden. Even back then I always thought, of course they do....small country where people don't drive too far, and people in Sweden don't trade in their cars every few years, they keep getting them fixed and keep driving the same car, no wonder they keep them for 40 years."
1260,July 2014,henryn,No Quote,"But, as you say, funny how that grudge works. From the reviews I have seen Volvo makes a pretty good car, but, they got me once, I just don't feel like taking the chance again."
1261,July 2014,abacomike,No Quote,I don't think I have ever seen a Lexus SUV with that grill. What is it? Maybe an artist's rendering? New model?
1262,July 2014,houdini1,@driver100 said:,This is the NXt compact Crossover. The Lexus version of the RAV4 (sort of). It will be available in the fall.
1263,July 2014,abacomike,No Quote,Thanks bwia. I agree with driver...just a tad overpowering !!
1264,July 2014,bwia,"@houdini1 said:
I don't think I have ever seen a Lexus SUV with that grill. What is it? Maybe an artist's rendering? New model?",That is brutally ugly.
1265,July 2014,houdini1,@bwia said:,"Stick, now, tell us what you really think."
1266,July 2014,stickguy,No Quote,Not to belabor the point but here is the real....Fool Me Once Speach.............(18 seconds)
1267,July 2014,driver100,"@stickguy said:
That is brutally ugly.",Fool Me Once......
1268,July 2014,driver100,No Quote,You couldn't make that stuff up!
1269,July 2014,abacomike,No Quote,Looks like Exner's '61 Plymouth on steroids.
1270,July 2014,ab348,"@stickguy said:
That is brutally ugly.",Looks like the front of the car melted.
1271,July 2014,oldfarmer50,"@driver100 said:
that grill",I mentioned before that I get about 30 shaves from a Fusion blade which was about twice as long as my old Mach III.
1272,July 2014,abacomike,No Quote,My last Fusion blade I tossed after 15 shaves because it got caught in a hair brush in my travel bag and actually cut some of the plastic bristles. When I used it the next day it sort of tugged and ripped the whiskers rather than cut.
1273,July 2014,robr2,No Quote,"My big problem was it is just so wide, so it isn't as nimbile around the corners or in tight spots. Kind of like comparing an old spongy handling Buick compared to a nimble tight on the corners bmw."
1274,July 2014,driver100,"@abacomike said:n comparison, the Fusion provides a better shave for twice as long as the Mach III and is not twice the price.",That is the 2015 NX.....it is the real thing. In this view it looks more like a steam shovel;
1275,July 2014,driver100,@houdini1 said:I don't think I have ever seen a Lexus SUV with that grill. What is it? Maybe an artist's rendering? New model?,
1276,July 2014,ab348,"@driver100 said:
My big problem was it is just so wide, so it isn't as nimbile around the corners or in tight spots. Kind of like comparing an old spongy handling Buick compared to a nimble tight on the corners bmw.","""It is a poor craftsman who blames his tools."""
1277,July 2014,roadburner,No Quote,Herewith my review of the 2014 Challenger V6...
1278,July 2014,oldfarmer50,No Quote,"I'll begin by noting that the 2015 Challenger receives some significant upgrades besides the availability of the mega-horsepower Hellcat; the 8 speed ZF autobox and a ""Super Track Pak"" are now available with the V6. And a new interior manages to look both more modern and more retro at the same time."
1279,July 2014,driver100,"@ab348 said:
""It is a poor craftsman who blames his tools.""","As for the 2014 I drove, I can sum it up in two words: Big Cruiser. And I don't mean that as a slam. The thing is huge- 198"" long and 4,000 pounds. Still, the 305 bhp Pentastar does a decent job of moving the big sled down the road; while a 0-60 in the mid sixes and a 15 second quarter mile cannot be considered even remotely fast, it is adequate for this car's intended purpose. And it is relatively efficient, averaging 29 mpg at an 80 mph cruise. The 5 speed automatic works OK, but it isn't all that responsive in manual shift mode. And I think that the sideways autostick function is beyond moronic; left to downshift, right to upshift? Which imbecile gave the green light to that?"
1280,July 2014,driver100,"@roadburner said:As for me, if I had the money and garage space I'd buy an SRT just to take to cruise nights and for longer trips with two passengers","Handling is again, adequate. While I would prefer much tighter shock damping and roll stiffness, the person who buys this car is never going to come close to pushing it to its modest limits. Steering effort was high(which most drivers think-wrongly-equates to steering feel) but not very communicative. Still, it was fine for the type of driving this car encourages. Ditto for the brakes. The car is a brilliant interstate cruiser, quietly soaking up most every road imperfection with little to no floating or wallowing- it felt almost European as opposed to a domestic land yacht."
1281,July 2014,ab348,"@roadburner said:
The V6 is just not my kind of car, but it is perfect for the demographic it is aimed at. As for me, if I had the money and garage space I'd buy an SRT just to take to cruise nights and for longer trips with two passengers.","I liked the interior; the cloth seats(with power lumbar support) were at least as comfortable as the base seats in my wife's E90 328i but not nearly as comfortable as BMW Sport seats or the chairs in my MS3. The base sound system sounded remarkably good. The trunk is cavernous, and the lid uses gas struts so no hinges intrude on the trunk space."
1282,July 2014,imidazol97,"@ab348 said:
Then I saw one in the flesh and realized it was massive. The car is just way too big (the Camaro also suffers from this problem).","The V6 is just not my kind of car, but it is perfect for the demographic it is aimed at. As for me, if I had the money and garage space I'd buy an SRT just to take to cruise nights and for longer trips with two passengers."
